Entity,Year,Military_exp,Population,Military_Exp_Gdp
Australia,2012,22131229000,22852649,4.574848
Australia,2013,21939001000,23236271,4.505617
Australia,2014,23810955000,23595599,4.8226705
Australia,2015,26247045000,23947998,5.2388678
Australia,2016,28741681000,24329961,5.6074696
Australia,2017,28690276000,24731044,5.452954
Australia,2018,28005265000,25119700,5.144462
Australia,2019,28764486000,25482714,4.834402
Australia,2020,30170393000,25743787,4.5224013
Australia,2021,32223097000,25956416,4.7266545
Australia,2022,32445330000,26200987,5.013208
Australia,2023,31970173000,26451125,5.0598474
China,2012,1.66E+11,1369520865,6.035395
China,2013,1.79E+11,1379008046,5.9676313
China,2014,1.94E+11,1387951973,5.9895425
China,2015,2.09E+11,1396134164,5.604891
China,2016,2.21E+11,1404052626,5.476726
China,2017,2.34E+11,1412354742,5.262867
China,2018,2.48E+11,1419008963,5.048501
China,2019,2.60E+11,1423520354,4.906764
China,2020,2.73E+11,1426106083,4.903691
China,2021,2.80E+11,1426437276,4.928081
China,2022,2.92E+11,1425179562,4.8805995
China,2023,3.09E+11,1422584937,4.9738264
India,2012,55321453000,1278674506,9.272619
India,2013,55358075000,1295829506,9.295981
India,2014,58055360000,1312277184,9.504791
India,2015,58606928000,1328024492,8.830488
India,2016,64584080000,1343944293,9.079498
India,2017,69133650000,1359657392,9.389757
India,2018,71568220000,1374659068,9.102595
India,2019,76620730000,1389030303,9.319865
India,2020,77085470000,1402617692,8.761081
India,2021,76596870000,1414203889,8.147615
India,2022,79976790000,1425423212,8.053916
India,2023,83334460000,1438069597,8.14549
Russia,2012,71606160000,144291024,10.841556
Russia,2013,75095790000,144604102,11.122177
Russia,2014,80481935000,144925638,11.772196
Russia,2015,86743286000,145307611,13.810712
Russia,2016,92992480000,145778669,14.828394
Russia,2017,75353784000,146186800,12.199182
Russia,2018,72514626000,146430147,11.403159
Russia,2019,75764920000,146533063,11.399
Russia,2020,77544910000,146371293,10.586068
Russia,2021,79081150000,145836172,10.314187
Russia,2022,1.02E+11,145579890,12.944211
Russia,2023,1.26E+11,145440504,16.141409
